subject,appearance
Bump sinon from 9.0.2 to 9.0.3,17
Updating dependency go.opencensus.io to version v0.22.2,17
l10n: Updated French (fr) translation to 96%,17
Bump husky from 4.2.3 to 4.2.5,17
Enable some off-by-default checks,17
Updated to Ruby 2.6.4.,17
Bump js-yaml from 3.13.0 to 3.13.1,17
I18n: Update translation ca (99%).,17
I18n: Update translation fr (98%).,17
Merge remote-tracking branch 'refs/remotes/origin/master' into FlightControl,17
Merge tag 'sh-for-linus' of git://github.com/pmundt/linux-sh,17
Bump rake from 12.3.1 to 12.3.2,17
Bump gds-api-adapters from 63.3.0 to 63.4.0,17
Move test code to test tree,17
Merge pilot.(none):/data/msvensson/mysql/mysql-5.0-maint into  pilot.(none):/data/msvensson/mysql/mysql-5.1-new-maint,16
Merge branch 'fixes' of master.kernel.org:/home/rmk/linux-2.6-arm,16
Build(deps-dev): Update phpstan/phpstan-deprecation-rules requirement,16
git subrepo pull gherkin/java,16
Merge changes from MySQL AB:,16
Sonar : Fix errors and code smells,16
Bump rubocop-govuk from 3.17.0 to 3.17.1,16
Bump @types/webpack in /server/src/main/webapp/WEB-INF/rails,16
Fix memory leaks,16
Python 3 fix,16
Fixed UCERF [skip hazardlib],16
Merge branch 'kernel-fix',16
Bump FodyHelpers from 6.1.1 to 6.1.2,16
Bump FodyHelpers from 6.2.0 to 6.2.1,16
Bump @babel/core from 7.4.0 to 7.4.3,16
Improve error message,16
Merge branch 'for-linus' of git://git.kernel.org/pub/scm/linux/kernel/git/ecryptfs/ecryptfs-2.6,16
Merge branch 'cassandra-2.1' into cassandra-2.2,16
WL#5597,16
Applying InnoDB snapshot innodb-5.1-ss3603,16
Bump eslint-plugin-import from 2.21.2 to 2.22.0,16
tests/engine2_test:,16
Layer,16
Basics of Respiratory System,16
Bump FodyHelpers from 6.2.1 to 6.2.4,16
Code refactoring,16
Bump css-loader from 5.0.0 to 5.0.1,16
Bump Moq from 4.14.5 to 4.14.6,16
Merge branch 'master' of https://github.com/didclab/onedatashare-spring into ShareLink,16
Bump byebug from 11.1.1 to 11.1.2,16
Bump eslint-plugin-import from 2.20.0 to 2.20.1,16
Various small fixes,16
Merge branch 'master' into mattb-positiontracker,16
Fix a typo in a comment.,16
Use more specific asserts in tests,16
Updated to Ruby 3.0.0,16
Translated using Weblate (Burmese),16
*** Reason for rollback ***,16
bump k8s.io/utils to pickup bug fix for rangesize,16
"Improving BKDG implementation of P-states, CPU and northbridge frequency and voltage handling for Fam 10 in SVI mode.",16
Bump css-loader from 3.4.0 to 3.4.1,16
Merge branch 'branches/rudder/3.1' into branches/rudder/3.2,16
Added comments [skip CI],16
multy screening,16
Merge branch '2016.06.0.x',16
Fixed project requirements,16
Fix warnings.,16
l10n: Spanish update,16
Bump gds-api-adapters from 52.1.0 to 52.2.1,16
Bump FodyHelpers from 6.0.3 to 6.0.4,16
Fixed more tests,16
Bump src/watchmaker/static/salt/formulas/ash-linux-formula,16
Added Storage Containers for Organs/Implants,16
"From: ""Daniel P. Berrange"" <dan@berrange.com>",16
Rubber-stamped by Kenneth Rohde Christiansen.,16
Bump webmock from 3.6.2 to 3.7.0,16
roles/common: Update list of abusive IP addresses,16
Bump pry-rails from 0.3.8 to 0.3.9,16
Bump sphinx from 2.3.1 to 2.4.0,16
Merge branch 'alchemy_tree' of github.com:materialsproject/pymatgen into alchemy_tree,16
Fix phpdoc and coding standards,16
I18n: Update translation id (98%).,16
erge branch '3.1',16
Bump mockito-core from 2.25.1 to 2.26.0,16
[NQP Bump] Brings 4 commits,16
Use TOX_CONSTRAINTS_FILE,16
Bump govuk_app_config from 2.0.1 to 2.0.2,16
Deprecate content::BrowserThread::PostAfterStartupTask,16
Bump css-loader from 3.2.0 to 3.2.1,16
Fixed misprint [skip hazardlib],16
Restructured body part containers to represent the layer system,16
Remove useless code,16
Commits since release 6.6.2,16
Bump webpack from 4.32.2 to 4.33.0,16
Merge branch 'amd-xgbe-next',16
Removed unused stuff,16
Updated Compute.php,16
Typo fix.,16
Monkey patch original current_thread _active,16
INFUND-7612-Eligibility-Viability-Go-Via-Workflow,16
Merge remote-tracking branch 'origin/dev-v7' into temp8,16
Backport into build-201003230706-5.1.43sp1,16
Sat Jun 22 14:56:05 1996  Roland McGrath  <roland@delasyd.gnu.ai.mit.edu>,16
chore(deps-dev): bump eslint from 7.6.0 to 7.7.0,16
Improved a comment [skip CI],16
[goal] Migrate testing to ubuntu focal,16
Merge pull request #70663 from wenjiaswe/gonet110,16
db/schema/security.sql:,16
Bump Fody from 5.0.6 to 5.1.0,16
Bump uglifier from 4.1.11 to 4.1.12,16
TrivialFix: Remove logging import unused,16
Merge remote-tracking branch 'remotes/qmp-unstable/queue/qmp' into staging,16
Merge branch 'x86-efi-for-linus' of git://git.kernel.org/pub/scm/linux/kernel/git/tip/tip,16
Bump capybara from 3.13.2 to 3.14.0,16
Bump @babel/preset-env from 7.9.6 to 7.10.0,16
Bug fix.,16
build(deps): bump Microsoft.NET.Test.Sdk in /exercises,16
Update ApiResult handling for mediawiki/core change I7b37295e,16
Bump govuk_app_config from 2.0.3 to 2.1.0,16
Bump react from 16.13.0 to 16.13.1,16
small fixes,16
Merge remote-tracking branch 'afaerber/qom-cpu' into staging,16
Merge pull request #85305 from codenrhoden/remove-mount-pkg,16
Merge branch 'master' into 20191004_adjustments,16
Update dependency boringssl,16
write results,16
Bump elliptic from 6.5.0 to 6.5.3,16
Bump byebug from 11.1.2 to 11.1.3,16
Bump gds-api-adapters from 52.6.0 to 52.7.0,16
Merge remote-tracking branch 'origin/2.6' into 3.0,16
Bump capybara from 3.22.0 to 3.23.0,16
Version 3.0.12 ,16
test(storyshots): update,16
I18n: Update translation th (99%).,16
Merge remote-tracking branch 'origin/5.132_last_christmas',16
Import of Cloud Functions JVM from Git-on-Borg.,16
[TASK] Relax dependencies to allow any branch version,16
minor #10717 unified return null usages (fabpot),16
Merge branch 's5p-fixes-for-linus' of git://git.kernel.org/pub/scm/linux/kernel/git/kgene/linux-samsung,16
Bump byebug from 10.0.2 to 11.0.0,16
chore(release): 0.1.0 [skip ci],16
remove unused import,16
l10n: Updated Galician (gl) translation to 99%,16
Merge branch 'sched/urgent' into sched/core,16
Updated Bulgarian translation by Yavor Doganov <yavor@gnu.org>,16
Bump faker from 2.10.1 to 2.10.2,16
icon: create a nightly app icon,16
Merge branch 'linus' into sched/core,16
Merge branch 'master' of github.com:gem/oq-engine into hazard-curves-from-gmfs,16
Bump gds-api-adapters from 63.5.1 to 63.6.0,16
Pontoon: Update Bengali (bn-BD) localization of AMO,16
fix a typo,16
Merge branch 'master' of https://github.com/scbd/absch.cbd.int,16
Bump uglifier from 4.1.5 to 4.1.6,16
Merge pull request #83113 from yastij/bump-utils,16
Bump @babel/core from 7.10.1 to 7.10.2,16
CPSolver Update,16
Bump govuk_app_config from 2.5.0 to 2.5.1,16
Updated to Rubocop 0.51.0.,16
Rename variables in SemaExpr.cpp to give a more consistant naming scheme.,16
chore(deps-dev): bump eslint from 6.5.1 to 6.6.0,16
Bump coverage from 5.0.1 to 5.0.2,16
chore(deps): bump lodash.template from 4.4.0 to 4.5.0,16
Bump lodash.merge from 4.6.0 to 4.6.2,16
bump k8s.io/utils to pickup ipallocator changes,16
2009-10-20  Xan Lopez  <xlopez@igalia.com>,16
Merge branch 'master' of https://github.com/gem/openquake into eq-catalog-importer,16
db/schema:,16
Merge branch 'linus' of master.kernel.org:/pub/scm/linux/kernel/git/perex/alsa,16
Bump rubocop from 0.85.0 to 0.85.1,16
Bump factory_bot_rails from 4.8.2 to 4.10.0,16
Merge branch 'for-linus' of git://git.monstr.eu/linux-2.6-microblaze,16
Fixed several tests,16
refs #369,16
Subject: Code styles,16
Merge branch 'pm-tools',16
tests/calcs/hazard/classical/core_test:,16
Bump gds-api-adapters from 59.2.0 to 59.2.1,16
Merge pull request #88684 from saad-ali/updateMountLib,16
Merge branch 'develop' of github.com:ampproject/amp-wp into amp-stories-redux,16
Bump gds-api-adapters from 59.0.0 to 59.1.0,16
RAILS 3 upgrade in progress!,16
Merge branch 'beta',16
remove default=None for config options,16
Bump webpack-cli from 3.3.9 to 3.3.10,16
PM-671,16
Bump gds-api-adapters from 62.0.0 to 63.0.0,16
Backport into build-200906240007-5.1.34sp1,16
Merge remote-tracking branch 'couchbase/2.2.0',16
Merge perch.ndb.mysql.com:/home/jonas/src/50-work into  perch.ndb.mysql.com:/home/jonas/src/mysql-5.0-ndb,16
Doc fix [skip CI],16
Minor change,16
Test fixes,16
Merge branch 'master' into studentit-master,16
Bump rails from 6.0.2.1 to 6.0.2.2,16
Update all the staging Godeps.json,16
Bump sphinx from 2.2.0 to 2.2.1,16
Resource for contribution added.,16
Merge master.kernel.org:/pub/scm/linux/kernel/git/mchehab/v4l-dvb,16
Merge branch 'develop' into dev/get2000,16
Merge remote-tracking branch 'origin/2.x',16
Use unittest.mock instead of mock,16
Refactoring:,16
pylint/pep8,16
merged master,16
Merge branch 'pci/misc',16
XE-14 : Merge XWiki.WebHome page content & wiki administration,16
Changes codes,16
2011-06-01  Adam Barth  <abarth@webkit.org>,16
Bump capybara from 3.20.0 to 3.20.2,16
Fixed the packager,16
Merge remote-tracking branch 'remotes/afaerber/tags/qom-devices-for-peter' into staging,16
Bump rubyzip from 1.2.2 to 1.3.0,16
Merge branch 'pm-devfreq',16
Rubber-stamped by Simon Hausmann.,16
Bump gds-api-adapters from 52.2.1 to 52.4.0,16
Merge branch 'develop' of github.com:Vizzuality/gfw into develop,16
Merge branch 'stable-2.5' into devel-2.5,16
Bundled Themes: Update Twenty Twenty.,16
Merge branch '5.3.x' into 6.0.x,16
Adjust for big file-rename.,16
Pontoon: Updated Portuguese (pt-PT) localization of AMO,16
Add documentation,16
OAK-3185 - Port and refactor jackrabbit-webapp module to Oak (WIP),16
remove unused variable,16
Remove duplicated code,16
Merge branch 'upstream' of git://git.linux-mips.org/pub/scm/upstream-linus,16
Translated using Weblate (Chinese (Taiwan)),16
new files,16
Merge mysql.com:/windows/Linux_space/MySQL/mysql-5.0 into  mysql.com:/windows/Linux_space/MySQL/mysql-5.1,16
Merge branch 's390-qeth-fixes',16
Bump sphinx from 2.4.4 to 3.0.0,16
Bump typescript from 4.0.2 to 4.0.3,16
Bump @types/chart.js in /server/src/main/webapp/WEB-INF/rails,16
delete all duplicate empty blanks,16
Merge pull request #84604 from codenrhoden/update-utils-dep,16
Bump eslint-plugin-prettier from 3.1.1 to 3.1.2,16
Merge branch 'master' of github.com:jarednova/timber,16
Bump eslint from 5.15.0 to 5.15.1,16
Bump coverage from 5.0.2 to 5.0.3,16
More renaming,16
Merge branch 'master' into T759-ng,16
Merge remote-tracking branch 'remotes/agraf/tags/signed-ppc-for-upstream' into staging,16
Add myself to authors list.,16
Merge branch 'upstream',16
I18n: Update translation ca (92%).,16
Mark classes with final dtors as final,16
2004-10-30  Andrew Cagney  <cagney@gnu.org>,16
demos/event_based_hazard:,16
Bump eslint from 6.6.0 to 6.7.1,16
Merge branch 'for-next' of git://git.kernel.org/pub/scm/linux/kernel/git/cooloney/linux-leds,16
Merge branch 'smp-hotplug-for-linus' of git://git.kernel.org/pub/scm/linux/kernel/git/tip/tip,16
Bump rubocop-govuk from 3.3.2 to 3.5.0,16
chore: upgrade to azure-sdk v40.2.0,16
NoRef *Accounting*,16
Update busybox,16
        Reviewed by eseidel.,16
l10n: Updated Chinese (China) (zh_CN) translation to 99%,16
Bump sass-rails from 5.0.7 to 6.0.0,16
WICKET-633 - Tree components cleanup,16
Use Maintenance::addDescription,16
Merge branch 'feature',16
tests/calcs/hazard/general_test:,16
Merge branch 'next' of git+ssh://github.com/gnss-sdr/gnss-sdr into next,16
Merge branch 'master' into disagg,16
[Security] Bump lodash.defaultsdeep from 4.6.0 to 4.6.1,16
Cosmetic change,16
Translated using Weblate (Русский),16
Extending pitch interpretation.,16
Bump sphinx from 3.4.0 to 3.4.1,16
Bump govuk_app_config from 1.9.1 to 1.9.2,16
Add missing dependency,16
Bump rubocop from 0.85.1 to 0.86.0,16
chore(release): 0.1.1 [skip ci],16
Bump mockito-core from 3.5.7 to 3.5.9,16
Convert //ui to not depend on set_sources_assignment_filter(),16
build(deps): [security] bump ini from 1.3.5 to 1.3.7,16
Cleanups.,16
Merge branch 'linus' into perf/core,16
CONTRIBUTING.md: contributors should update version+changes,16
Merge remote-tracking branch 'materialsproject/master',16
Updating changelog,16
Add reno for release notes management,16
vendor: bump github.com/evanphx/json-patch,16
Merge pull request #70718 from cblecker/godep-round-a-million,16
Merge branch 'master' of github.com:zanaca/docker-dns,16
Bump listen from 3.2.0 to 3.2.1,16
Updated Spanish translation by Juan Manuel García Molina,16
Bump webpack-cli from 4.1.0 to 4.2.0,16
Bump pytest from 5.2.3 to 5.2.4,16
Bluetooth: Increment management interface revision,16
Core/Vehicles:,16
Bump eslint from 6.1.0 to 6.2.0,16
Merge pull request #83785 from yastij/bump-utils-rangesize,16
Merge pull request #89319 from mboersma/fix-mount-sensitive-windows-master,16
Merge git://git.kernel.org/pub/scm/linux/kernel/git/davem/net-next-2.6,16
Update po/Makevars,16
Merge branch 'ddb',16
Merge bk-internal.mysql.com:/home/bk/mysql-5.1 into  mysql.com:/home/my/mysql-5.1,16
Added README production and development setup instructions,16
Try to fix the Windows build.,16
Bump Moq from 4.14.6 to 4.14.7,16
Merge branch 'for-linus' of git://git.kernel.org/pub/scm/linux/kernel/git/mattst88/alpha,16
[Fix gate]Update test requirement,16
Fixed expected file [skip hazardlib],16
Merge remote-tracking branch 'remotes/upstream/master',16
Bump govuk_app_config from 2.1.2 to 2.2.0,16
Bump junit from 4.11 to 4.13.1,16
Merge branch 'for-linus' of git://ftp.arm.linux.org.uk/~rmk/linux-arm,16
Merge branch 'master' of github.com:hashicorp/terraform,16
Merge remote-tracking branch 'symfony/2.5' into lowest-26,16
Merge branch 'qed-next',16
Bump jest from 24.8.0 to 24.9.0,16
Remove unneeded code,16
Bump @babel/preset-env from 7.10.1 to 7.10.2,16
Edited comments.,16
PDFBOX-644: Move FontBox and JempBox under the same trunk with PDFBox,16
chore(deps-dev): bump prettier from 2.1.2 to 2.2.0,16
Fix unit test,16
Bump capybara from 3.20.2 to 3.21.0,16
Online Student Scheduling: Banner XE Interface,16
Bump sphinx from 2.4.0 to 2.4.1,16
Merge branch 'bnx2x',16
Improved docstring [skip CI],16
Bump listen from 3.1.5 to 3.2.0,16
Endpoints and storage,16
Don't quote {posargs} in tox.ini,16
Merge tag 'armsoc-defconfig' of git://git.kernel.org/pub/scm/linux/kernel/git/arm/arm-soc,16
Merge remote-tracking branch 'couchbase/3.0.x' into 'couchbase/sherlock',16
Merge remote-tracking branch 'origin/2.0.2',16
merge from trunk,16
git subrepo pull modules/scripts,16
Merge remote-tracking branch 'origin/2.5' into 3.0,16
Fixed typo.,16
More updates,16
Pontoon: Update Punjabi (pa-IN) localization of AMO,16
Cleanup [skip hazardlib] [demos],16
Update dependency com_github_golang_crypto,16
Bump coverage from 4.5.3 to 4.5.4,16
Merge branch 'b-6.2.x',16
fix bug,16
        - try to fix Windows build,16
Bump sphinx from 3.3.1 to 3.4.0,16
NoRef ,16
Merge branch 'bnxt_en-Bug-fixes',16
        Reviewed by darin,16
Merge branch 'develop' into feature/esp,16
Bump FodyHelpers from 6.0.0 to 6.0.1,16
I18n: Update translation hr (98%).,16
Bump rubocop from 0.91.0 to 0.91.1,16
Merge remote-tracking branch 'cakephp/2.3' into 3.0,16
Merge branch 'social' into redis,16
Bump gds-api-adapters from 59.1.0 to 59.2.0,16
chore(deps-dev): bump @commitlint/config-conventional,16
Bump govuk-lint from 4.2.0 to 4.3.0,16
Merge pull request #70889 from dims/update-cadvisor-and-other-repos-for-klog-take-2,16
Bump rubocop-govuk from 3.16.0 to 3.17.0,16
[PHP]: Update phpstan/phpstan requirement in /vendor-bin/phpstan,16
Merge remote-tracking branch 'mjt/trivial-patches' into staging,16
Bump nyc from 15.0.1 to 15.1.0,16
Update release notes,16
Directory tree redesign ...,16
Merge remote-tracking branch 'upstream/master' into develop,16
Support Catch-Weight for purchase invoices,15
Merge branch 'drm-patches' of git://git.kernel.org/pub/scm/linux/kernel/git/airlied/drm-2.6,15
Bump jest from 26.0.1 to 26.1.0,15
Fix spelling error,15
        Reviewed by Dave Harrison.,15
Updated ShoppingContent.php,15
Bump Moq from 4.14.7 to 4.15.1,15
2010-03-19  Adam Barth  <abarth@webkit.org>,15
Some cleanup.,15
Merge branch 'devel-2.7',15
Merge branch 'develop' into newResourceLoader,15
Merge git://git.kernel.org/pub/scm/linux/kernel/git/bunk/trivial,15
Fix compiler warning: -Wmisleading-indentation,15
chore(deps-dev): bump typescript from 3.9.3 to 3.9.5,15
Bump spring from 2.1.0 to 2.1.1,15
github.com/beorn7/perks v0.0.0-20180321164747-3a771d992973,15
Merge branch 'reengineering' of github.com:openforis/collect into reengineering,15
build(deps): bump ini from 1.3.5 to 1.3.8,15
Bump eslint-config-prettier from 6.0.0 to 6.1.0,15
Merge branch 'develop' into feature/extract-login-flow,15
Merge branch mad-hatter into master,15
Bump typescript from 3.7.4 to 3.7.5,15
        Reviewed by Tim Hatcher,15
Bump eslint-config-prettier from 6.14.0 to 6.15.0,15
Merge remote-tracking branch 'remotes/mjt/tags/trivial-patches-fetch' into staging,15
Bump gds-api-adapters from 54.1.2 to 54.1.3,15
fixed a typo,15
updated CHANGES.md,15
Put py34 first in the env order of tox,15
Bump FodyPackaging from 6.0.4 to 6.0.5,15
Update to the latest release,15
Bump Moq from 4.15.1 to 4.15.2,15
Bump underscore.string from 3.3.4 to 3.3.5,15
Set access_policy for messaging's dispatcher,15
Merge remote branch 'origin/2.0' into 2.0-class-loading,15
Bump mockito-core from 2.24.5 to 2.25.0,15
Fix whitespace,15
Bump css-loader from 4.2.0 to 4.2.1,15
[maven-release-plugin] prepare for next development iteration,15
Small improvement,15
Merge branch 'patch-4' into 'master',15
Update auth_uri option to www_authenticate_uri,15
Updated French translation by Robert-André Mauchin.,15
Bump govuk-content-schema-test-helpers from 1.6.0 to 1.6.1,15
New analyzer_experimental snapshot.,15
Replace links for further modification,15
Fix a warning,15
Merge branch 'maint' into yacc-work,15
Bump govuk_app_config from 2.2.0 to 2.2.1,15
Bump node-sass from 4.14.0 to 4.14.1,15
icon: provide a symbolic variant of the app icon,15
l10n: Czech update,15
2006-11-18 Erik Hjortsberg  <erik@katastrof.nu>,15
build(deps): bump third_party/cores/opentitan,15
standardize release note page ordering,15
Merge branch '5.5',15
Merge branch 'hns3-fixes',15
newer version,15
YCP Killer: Translate YCP files into Ruby,15
Bump capybara from 3.33.0 to 3.34.0,15
YCP Killer: Regenerate Makefile.am files in all source directories,15
Bump rubocop-govuk from 3.1.0 to 3.3.0,15
various,15
Remove some dead code.,15
"Revert ""Merge branch 'master' into master""",15
Merge branch 'next' of git://git.kernel.org/pub/scm/linux/kernel/git/djbw/async_tx,15
Fix for Bug 6458 - incorrect parsing result in translation processing,15
Merge trift2.:/MySQL/M51/mysql-5.1 into  trift2.:/MySQL/M51/push-5.1,15
        Reviewed by Richard,15
l10n: sett inn,15
Bump eslint from 6.5.0 to 6.5.1,15
New approach for graph theory (continued),15
UIMA-377,15
Merge branch 'master' into redis,15
Update redis,15
Bump launchy from 2.4.3 to 2.5.0,15
YCP Killer: Unify YaST module structure,15
Bump default tox env from py37 to py38,15
Bump tox from 3.18.0 to 3.18.1,15
Fix lint errors,15
2010-07-06  Eric Seidel  <eric@webkit.org>,15
Update the documentation link for doc migration,15
CBS tags sync with uc for stein-candidate,15
2011-04-04  Pavel Podivilov  <podivilov@chromium.org>,15
Merge branch 'master' of https://github.com/pali/util-linux,15
2007-10-30  Markus Deuling  <deuling@de.ibm.com>,15
Bump gds-api-adapters from 54.1.3 to 55.0.0,15
Future<T>::then Future<T>::then() -> Future<T>::thenValue or thenTry.,15
        Reviewed by Xan Lopez.,15
Fix indentation.,15
Merge branch 'master' into symfony-2.3,15
Bump actions/setup-python from v2.1.2 to v2.1.3,15
Bump bl from 1.2.2 to 1.2.3,15
Update CHANGES.,15
Merge branch 'qa',15
Qt build fix.,15
Merge branch 'master' of git://factorcode.org/git/factor,15
Bump sinon from 9.0.1 to 9.0.2,15
ld/,15
fix warning,15
Bump webpack from 4.41.1 to 4.41.2,15
Disable flaky test,15
Bump @types/jasmine in /server/src/main/webapp/WEB-INF/rails,15
branches/feature/ (antanas@echidna) Synced with trunk/. Merge command:,15
[Qt] Pixel tests need rebaseline https://bugs.webkit.org/show_bug.cgi?id=99323,15
chore(deps-dev): bump eslint from 6.7.2 to 6.8.0,15
Commits since release 6.7.1,15
Apply translations in hr,15
Bump mockito-core from 2.25.0 to 2.25.1,15
Bump eslint from 3.19.0 to 4.18.2,15
Bump sass from 1.29.0 to 1.30.0,15
Bump capybara from 3.17.0 to 3.18.0,15
Bump gds-api-adapters from 63.4.0 to 63.5.0,15
        Reviewed by Mark.,15
Bump eslint from 6.8.0 to 7.0.0,15
insertion in database,15
Bump version.,15
Increment versioning with pbr instruction,15
build(deps): bump third_party/python-sdf-timing,15
YCP Killer: Apply changes needed for Ruby translation,15
Merge branch 'linus' into x86/urgent,15
Bump mocha from 8.1.1 to 8.1.3,15
Replaces uuid.uuid4 with uuidutils.generate_uuid(),15
git subrepo clone --branch=master --force https://github.com/mupen64plus-ae/mupen64plus-core.git mupen64plus-core/upstream,15
Merge branch 'smc-fixes',15
Merge branch 'master' of ssh://ftp-master.debian.org/srv/ftp.debian.org/git/dak,15
Merge ath-next from ath.git,15
"[Qt] Unreviewed gardening, skip new failing tests.",15
Merge tag 'hyperv-fixes-signed' of git://git.kernel.org/pub/scm/linux/kernel/git/hyperv/linux,15
DEPS AutoUpdate: dev_compiler,15
Remove install unnecessary packages,15
Merge branch 'pci/enumeration',15
Merge branch 'maint-0.99' into maint-1.0,15
build(deps-dev): bump eslint from 7.15.0 to 7.16.0,15
Removed:,15
2006-08-05 Erik Hjortsberg  <erik@katastrof.nu>,15
Bump six from 1.12.0 to 1.13.0,15
Bump rubocop from 0.71.0 to 0.72.0,15
Merge branch 'develop' into feature/platformio-30,15
I18n: Update translation eu (98%).,15
Bump typescript from 4.0.3 to 4.0.5,15
Merge remote-tracking branch 'origin/stable',15
Translated using Weblate (Central Atlas Tamazight),15
Merge branch 'master' into latest,15
REF: minor changes,15
Bump mocha from 6.2.0 to 6.2.1,15
Tweak,15
chore(deps): bump jetty-servlet in /tests/apps/java,15
Bump @babel/preset-env from 7.4.2 to 7.4.3,15
Post-release version bump.,15
client-go: drop github.com/gophercloud/gophercloud dep,15
Build(deps): Update mimmi20/browser-detector-loader-interface requirement,15
Merge branch 'sdk3.x' of https://github.com/easemob/sdkdemoapp3.0_ios into sdk3.x,15
Bump @types/node from 14.0.26 to 14.0.27,15
2007-10-08  Markus Deuling  <deuling@de.ibm.com>,15
Bump puma from 4.0.1 to 4.1.0,15
Fix compiler warning: no previous prototype,15
chore(deps): bump handlebars from 4.1.2 to 4.5.3,15
Bump json from 2.2.0 to 2.3.1,15
Bump maven-jar-plugin from 3.1.1 to 3.1.2,15
Bump rubocop from 0.73.0 to 0.74.0,15
build: Bump stylelint and make pass,15
Pontoon: Update Spanish (es) localization of AMO Frontend,15
Bump gds-api-adapters from 51.2.0 to 51.3.0,15
Merge branch 'pm-domains',15
Bump eslint from 6.0.1 to 6.1.0,15
update README.md,15
Switch from MySQL-python to PyMySQL,15
Update mpfr on AT 12.0,15
----------------------------------------------------------------------,15
Bump govuk_app_config from 2.1.1 to 2.1.2,15
recipes-debian/sources: Update source code version,15
OAK-68: Extension point for commit validation,15
Merge master.kernel.org:/pub/scm/linux/kernel/git/jejb/scsi-misc-2.6,15
qa_tests/risk:,15
Bump pg from 1.2.1 to 1.2.2,15
Bump gds-api-adapters from 55.0.1 to 55.0.2,15
Build(deps-dev): Update phpstan/phpstan-strict-rules requirement,15
I18n: Update translation lt (98%).,15
Automated g4 rollback.,15
chore(deps-dev): bump gatsby-source-filesystem in /www,15
Merge branch 'master' into ditching-asset-pipeline,15
minor #33963 Add .gitignore to .gitattributes (reedy),15
Bump assertj-core from 3.17.1 to 3.17.2,15
4-e2e - Reorganize and further integrate e2e into CI process,15
chore(deps-dev): bump eslint from 7.5.0 to 7.6.0,15
NoNoRef *BOOTSTRAP*,15
Fix last change,15
Refactor tests,15
Bump FodyPackaging from 6.0.2 to 6.0.3,15
Use template for lower-constraints,15
Merge tag 'scsi-for-linus' of git://git.kernel.org/pub/scm/linux/kernel/git/jejb/scsi,15
Bump gds-api-adapters from 52.4.0 to 52.5.0,15
Merge branch '15.10',15
Removed CHANGELOG.md (use CHANGES.md instead).,15
Merge branch 'master' into surface,15
git subrepo pull libs/osgi-libs,15
Bump gds-api-adapters from 55.0.0 to 55.0.1,15
2010-03-19  Dirk Pranke <dpranke@chromium.org>,15
Bump lombok from 1.18.10 to 1.18.12,15
Update ubuntu,15
Renaming,15
JIRA PM-494,15
Add .gitignore,15
Bump tox from 3.19.0 to 3.20.0,15
Bump uglifier from 4.1.7 to 4.1.8,15
Bump rake from 12.3.3 to 13.0.0,15
#603 - Use Bootstrap and flexbox to style the UI,15
Bump gds-api-adapters from 59.2.1 to 59.4.0,15
svn:ignore,15
Bump rubocop from 0.75.1 to 0.76.0,15
Address PR comments,15
JCR-2741: Improved logging for session operations,15
"sync: update files from upstream with ""make fetch""",15
2010-05-03  Dirk Pranke  <dpranke@chromium.org>,15
chore(deps-dev): bump typescript from 3.9.2 to 3.9.3,15
Fix crash,15
Bump rails from 5.1.6 to 5.2.0,15
OAK-2005 - Use separate Lucene index for performing property related queries,15
Bump kramdown from 2.1.0 to 2.3.0,15
Bump gds-api-adapters from 63.5.0 to 63.5.1,15
Fix travis build,15
Bump @types/node from 14.0.27 to 14.6.0,15
WebCore,15
Fixed the tests,15
Update CMakeLists.txt,15
Bump pry-rails from 0.3.7 to 0.3.8,15
Merge branch 'v6.2.x',15
Bump pytest from 5.1.1 to 5.1.2,15
Bump eslint-config-prettier from 6.10.0 to 6.10.1,15
Bump govuk-lint from 4.1.0 to 4.2.0,15
Merge branch 'for-linus' of git://git.kernel.org/pub/scm/linux/kernel/git/viro/signal,15
Update index.rst,15
Bump sphinx from 3.0.0 to 3.0.1,15
Merge pull request #89014 from enj/enj/i/drop_openstack_cred_plugin,15
google-api-go-client: update all APIs,15
Merge branch 'master' of github.com:mmagnus/rna-pdb-tools,15
Use ECMGenerateExportHeader to manage deprecated API better,15
procd: update to git HEAD,15
chore(deps): update dependency pytest to v5.4.3 [(#4279)](https://github.com/GoogleCloudPlatform/python-docs-samples/issues/4279),15
Bump devise from 4.6.1 to 4.6.2,15
Merge branch 'master' into for-next,15
build(deps-dev): bump scratch-l10n,15
fbcode_builder: getdeps: OpenNSA update source URL,15
Bump mockito-core from 2.23.0 to 2.23.4,15
Bump rubocop from 0.64.0 to 0.65.0,15
Update dicos,15
Merge branch 'stable-2.5',15
Bump react-dom from 16.13.0 to 16.13.1,15
increased performance of test class,15
Merge branch 'symbol-fix',15
l10n: Malay update,15
[Chromium] Unreviewed test expectations update.,15
chore(release): 2.2.0 [skip ci],15
Bump sass-loader from 10.0.3 to 10.0.4,15
Bump capybara from 3.8.1 to 3.8.2,15
Update appveyor.yml,15
removed deps checks in unit tests,15
Fix broken links,15
Update rubocop requirement from ~> 0.92.0 to ~> 0.93.0,15
WL#4380,15
Updated Dutch translation,15
Merge branch 'master' of https://github.com/localnerve/react-pwa-reference,15
Bump rubocop-govuk from 3.17.1 to 3.17.2,15
Fix compiler warning -Wincompatible-pointer-types-discards-qualifiers,15
Merge tag 'virtio-next-for-linus' of git://git.kernel.org/pub/scm/linux/kernel/git/rusty/linux,15
